title,author,publication_year
Making Waves: The Origin and Future of Greenpeace,Jim Bohlen,2000
The Photograph (Oxford History of Art),Graham Clarke,1997
The New Boss Has a Milk Mustache: My Promotion to Motherhood,Leola Floren,1996
"Environment and Society Reader, The",R. Scott Frey,2000
A Walk in the Park,Russell L Drake,1997
"In Nature's Name: An Anthology of Women's Writing and Illustration, 1780-1930",Barbara T. Gates,2002
Implant,Colin Andrews,1995
Westing Game,Ellen Raskin,2001
Home Fires: An Intimate Portrait of One Middle-Class Family in Postwar America,Donald Katz,1992
Der trร?ยคumende Delphin. Sonderausgabe. Eine magische Reise zu dir selbst.,Sergio Bambaren,2003
How to Spot a Bastard by His Star Sign: The Ultimate Horrorscope,Adele Lang,2002
King's of the Hill/an Irreverent Look at the Men on the Mound,Nolan Ryan,1993
Breitet Sich Aus (Garfield (German Titles)),Jim Davis,1999
A Farewell to France,Noel Barber,1983
AT BERTRAMS HOTEL,Agatha Christie,1982
The Idol,David Benjamin,1979
The Spider in the Well: A Man's Journey to God,Lee Ann Ward,2003
The James Joyce Murders (Kate Fansler Novels (Paperback)),Amanda Cross,1982
Wander,Susan Hart Lindquist,2000
"Baby Dreams (The Baby Shower, Celebration 1000) (Silhouette Desire, No 997)",Brian Morgan,1996
Mattie's Whisper,Alice Delacroix,1992
Beyond Theology: The Art of Godmanship,Alan Wilson Watts,1973
Art Since 1940: Strategies of Being,Jonathan Fineberg,1994
"Her Special Angel (Harlequin Silhouette Romance, No 744)",Marie Ferrarella,1990
Pride and prejudice,Jane Austen,1980
The Toll Gate,Georgette Heyer,1981
The Curse Of The Black Cat (NANCY DREW ON CAMPUS),Carolyn Keene,2001
Snowdrops and Scandalbroth (Regency Romance),Barbara Metzger,1997
The Citizen Artist: 20 Years of Art in the Public Arena : An Anthology from High Performance Magazine 1978-1998 (Thinking Publicly.),Linda Frye Burnham,1998
"Plays: One : Christie in Love, Magnificence, the Churchill Play, Weapons of Happiness, Epsom Downs, Sore Throats (World Dramatists)",Howard Brenton,1987
"Wedding Fever (Silhouette Desire, No 1061)",Susan Crosby,1997
Nice Work,David Lodge,1989
Captain Rogue (Signet Regency Romance),April Kihlstrom,1988
Botchan,Natsume Soseki,1992
Spy Who Loved Me,Ian Fleming,1983
The Voyages of Dr. Dolittle (Yearling Books (Paperback)),Hugh Lofting,1999
El Cliente,John Grisham,1997
Condominium,John D. MacDonald,1977
"Charles Dickens: Great Expectations, Hard Times, the Cricket on the Hearth (Great Classic Library)",Charles Dickens,1994
Gร?ยคnsehaut 04. Es wร?ยคchst und wร?ยคchst und wร?ยคchst... ( Ab 10 J.).,R. L. Stine,1996
The Predictors,Thomas A. Bass,2000
Gร?ยคnsehaut 47. Der Werwolf ist unter uns. ( Ab 10 J.).,R. L. Stine,2000
"Gร?ยคnsehaut 36. Um Mitternacht, wenn die Vogelscheuche erwacht. ( Ab 10 J.).",R. L. Stine,1999
Ithanalin's Restoration (Ethshar),Lawrence Watt-Evans,2003
All Rites Reversed: Ritual Technology for Self Initiation,Antero Alli,1988
Dusk and Other Stories,James Salter,1989
The Road to Ehvenor: A Guardians of the Flame Novel (A guardians of the flame novel),Joel Rosenberg,1991
The Complete Joy of Home Brewing,Charles Papazian,1984
Deep Hollow Creek (New Canadian Library),Sheila Watson,1999
Chicago and the American Century (Illinois),Richard  Ciccone,2000
The Simple Gift: A Novel (Uqp Young Adult Fiction),Steven Herrick,2000
Chicago Stories: Tales of the City,John Miller,1993
"Cute, Quaint, Hungry, and Romantic: The Aesthetics of Consumerism",Daniel Harris,2000
Chicago: City on the Make,Nelson Algren,2001
"The Quotable Feast: Savory Sayings on Cooking, Eating, Drinking, and Entertaining",Sarah E. Parvis,2001
Gร?ยคnsehaut 40. Panikpark. ( Ab 10 J.).,R. L. Stine,2000
European Quality Award. Praktische Tipps zur Anwendung des EFQM- Modells,Philipp Radtke,2002
Heroes Wanted,Kyle Crocco,1991
God in the Hard Times,Dale Evans Rogers,1984
Thale's Folly,Dorothy Gilman,1999
Anne Frank (German language ed.),Carol Ann Lee,2002
The Return of Cultural Treasures,Jeanette Greenfield,1996
Thieves' World: Turning Points (Thieves' World),Lynn Abbey,2003
Bella bellt und Karlchen kocht. ( Ab 4 J.).,Kathrin Schร?ยคrer,2001
A Parisian from Kansas,Philippe Tapon,1997
Verdi.,Janell Cannon,1999
Wizard's Heir,Daniel Hood,1995
Melwins Stern. Eine weihnachtliche Geschichte.,Nathan Zimelman,1998
Golden Sunlands,Christopher B. Rowley,1987
Reise durch Neuseeland.,Kirsten Wechsel,2001
Ether Ore: Awake2-Cn,H. C. Turk,1987
Natur Neuseeland. Die schร?ยถnsten Nationalparks und Naturschutzgebiete.,Patrick Loertscher,2000
Neuseeland. Sonderausgabe.,Nelson Wattie,1999
The Art of the Cocktail Party: The Complete Guide to Sophisticated Entertaining,Leslie Brenner,1994
An Unscrupulous Bride,Lois Stewart,1992
She Went to War : The Rhonda Cornum Story,RHONDA CORNUM,1993
Westwร?ยคrts mit der Nacht. Mein Leben als Fliegerin in Afrika.,Beryl Markham,2002
The Invisible Invaders: Viruses and the Scientists Who Pursue Them (Invisible Invaders),Peter Radetsky,1995
The Blood Jaguar,Michael H. Payne,1999
Der Himmelsstein.,Jack Whyte,2002
The Nigger Factory,Gil Scott-Heron,1996
The Forger,Paul Watkins,2000
Langenscheidt's Pocket Dictionary German: German-English/English-German,Langenscheidt Staff,2001
Poesie der Erde. Im Einklang mit der Natur.,Max Schmid,2000
Kopf hoch!,Jane Noland,2002
"Northwest Best Places: Restaurants, Lodgings, and Touring in Oregon, Washington, and British Columbia (12th ed)",Stephanie Irving,1997
Rabbit on Bear Mountain,Janet Perlman,1994
The Book of Vices,Robert J. Hutchinson,1995
Knie-arthrose - von wegen da kann man nichts machen,Jร?ยผrgen Toft,1999
Gehirne,Gottfiried Benn,1998
Hobbythek. Fruchtig frisch mit Frusips. Mehr als 150 Rezepte mit Fruchtsirupkonzentraten.,Jean Pร?ยผtz,1997
Light for My Path for Grandparents: Illuminating Selections from the Bible,Humble Creek,2002
Rosen. Der Praxis- Ratgeber.,Robert Markley,2003
"Life Is Tough, But God Is Faithful: How To See God's Love In Difficult Times",Sheila Walsh,1999
Devils Tower: Stories in Stone,Mary Alice Gunderson,1988
Drowned Hopes,Donald E. Westlake,1990
Neues aus Kalau,Tetsche,1978
I'll Watch the Moon: A Novel,Ann Tatlock,2003
Dr. Wright's Book of Nutritional Therapy: Real-Life Lessons in Medicine Without Drugs,Jonathan V. Wright,1979
Self Hypnotism: The Techniques and Its Use in Daily Living,Leslie M. Lecron,1988
Stolen Bride (Historical),Susan Paul,2000
Brigitte. Das groร?ย?e Weihnachtsbuch. Viele originelle Ideen fร?ยผr die festlichste Zeit des Jahres.,Barbara Rias-Bucher,1996
The Murder Channel,John Philpin,2001
Das Elfenbuch. Naturgeister aus aller Welt.,Rose Williams,2002
"Branded Hearts (Harlequin Historical, No. 482)",Diana Hall,1999
Fotos bearbeiten mit Photoimpact 8.,Horst-Dieter Radke,2003
Women Who Kill Viciously,Mike James,2003
Creating Web Pages for Dummies Quick Reference,Doug Lowe,1998
Berlin ist anderswo.,Renee Zucker,1997
Ronnie: The Autobiography of Ronnie O'Sullivan,Ronnie O'Sullivan,2004
"Beyond Reason: The True Story of a Shocking Double Murder, a Brilliant and Beautiful Virginia Socialite, and a Deadly Psychotic Obsession",Ken Englade,1990
Das Martyrium von Gwynedd. Deryni- Zyklus 1. Die Erben von Sankt Camber.,Katherine Kurtz,2000
Homร?ยถopathische Notfallapotheke. Sanfte Selbsthilfe in Akut- Situationen.,Walter Glร?ยผck,1999
Nervensystem Und Sinnesorgane,Kahle Werner,1998
Put on by cunning,Ruth Rendell,1981
Walken: Technik.,Urs Gerig,2001
BORN FREE - LION EDITION: The Story of Elsa,Joy Adamson,1983
Figuren zeichnen. Portrร?ยคt und Anatomie des Menschen.,Louise Gordon,1999
Die ร?ยผber alles schร?ยถne Frau.,Jean Barbet,1992
The Christmas mouse;,Read,1973
Liaison,Joyce Wadler,0
Das neue Bach - Blร?ยผten- Buch.,Gร?ยถtz Blome,2002
Krankheit als Symbol. Handbuch der Psychosomatik.,Ruediger Dahlke,2002
Atlas der mineralfundstellen in Deutschland-West,Stefan Weiss,1990
Living Free: Elsa and Her Cubs,Joy Adamson,1979
Handbuch Laborwerte. Untersuchungsergebnisse richtig verstehen.,Eberhard J. Wormer,2003
Golden Eyes,John Gideon,1994
Celtic Tattoos. Neue Muster und Anleitungen.,Andy Sloss,1998
Kontemplative Exerzitien.,Franz Jalics,2001
Time's Arrow,Martin Amis,1991
Earth Abides,Stewart,1981
Gemeinschaft im Dialog,Timothy Radcliffe,2001
Gardens in Watercolour,Sharon Finmark,1998
The Last Revolutionary,John Desmond,2002
"Frauen und Mรคnner im Dominikanerorden: Geschichte, Spiritualitรคt, aktuelle Projekte (Topos-Taschenbucher)",Thomas Eggensperger,1992
Julia Foster's Patchwork: Her Own Ideas for You to Make,Julia Foster,1988
Land der Fร?ยผlle.,Tim Pears,1999
"Summe der Theologie, 3 Bde., Bd.1, Gott und Schร?ยถpfung",Thomas von Aquin,1985
Birth to Five,N. Kohner,1994
The Essential Husserl: Basic Writings in Transcendental Phenomenology (Studies in Continental Thought),Edmund Husserl,1999
"Dem Himmel zur Ehre, den Menschen zum Zeichen. Menschliches Reifen im Ordensleben.",Anselm Grร?ยผn,2001
"The Eating Well Cookbook: Favorite Recipes from Eating Well, the Magazine of Food &amp; Health",Rux Martin,1995
Decade of Dazzle: Fifties Stylish American Cars,Henry Rasmussen,1987
Te Deum laudamus. Groร?ย?e Gebete der Kirche.,Adolf Adam,2001
Some Rain Must Fall &amp; Other Stories,Michel Faber,2000
California Classics (Osprey Colour Series),Colin Burnham,1990
Der Herr: Betrachtungen รผber die Person und das Leben Jesu Christi (Werke / Romano Guardini),Romano Guardini,1997
Nร?ยคhe des Herrn.,Romano Guardini,1994
Hitler's last days: An eye-witness account;,Gerhard Boldt,1973
Dear Mr. Capote,Gordon Lish,1983
Erfร?ยผllt von Gottes Licht. Eine Spiritualitร?ยคt des Alltags.,Piet van Breemen,1995
Der Agypter,Christian Jacq,0
Sorted,Jeff Gulvin,1997
Lebensweisheit aus der Bibel. Biblische Frauen und Mร?ยคnner - Inspiration fร?ยผr heute.,Paul Deselaers,2002
Zeig mir den Weg. Meditationen fร?ยผr alle Tage von Aschermittwoch bis Ostern.,Henri J. M. Nouwen,2002
Fairies,Janet Bord,0
The Dreamer's Dictionary: The Complete Guide to Interpreting Your Dreams,Stearn Robinson,1986
Gebete der Hildegard von Bingen.,Walburga. Storch,1998
Miss Ravenel's Conversion from Secession to Loyalty (Penguin Classics),John W. De Forest,2000
Wisse die Wege. Ratschlร?ยคge fร?ยผrs Leben.,Hildegard von Bingen,1997
Begleiterinnen auf dem Weg nach innen. 8 Wege mit mittelalterlichen Mysterikerinnen.,Dagmar Mร?ยผller,2002
The Company of Writers: Fiction Workshops and Thoughts on the Writing Life,Hilma Wolitzer,2001
Evangelien- Synopse der Einheitsร?ยผbersetzung.,Carl Heinz Peisker,2001
The Language of Good-Bye,Maribeth Fischer,2001
Kleine Kirchengeschichte.,August Franzen,2001
Bekenntnisse.,Aurelius Augustinus,1989
Theologen der christlichen Antike. Eine Einfร?ยผhrung.,Wilhelm Geerlings,2002
The Great Santini,Pat Conroy,1982
Theologen des Mittelalters. Eine Einfร?ยผhrung.,Ulrich Kร?ยถpf,2002
MAGIC OF ENCOURAGEMENT,Stephanie Marston,1992
Das Christentum. Atem der Freiheit.,Wolfgang Beinert,2000
Einfร?ยผhrung in das Alte und das Neue Testament.,Ursula Struppe,1998
Katharina von Siena: Lehrerin der Kirche,Meinolf Lohrum,1994
Rร?ยถmerbrief. (6. Lieferung),Rudolf Pesch,1983
"Matthร?ยคusevangelium 1,1 - 16,20. (1/1. Lieferung)",Rudolf Schnackenburg,1985
Help! I Am a Prisoner in a Toothpaste Factory,John Antrobus,1988
"Matthร?ยคusevangelium 16,21 - 28,20. (1/2. Lieferung)",Rudolf Schnackenburg,2000
Quest,Richard Ben Sapir,1988
Johannesevangelium. (4. Lieferung),Joachim Gnilka,1999
Das Urchristentum (Kohlhammer Urban-Taschenbรผcher),Wilhelm Schneemelcher,1981
A Hundred and One More Uses of a Dead Cat,Simon Bond,1982
The Avengers: A Jewish War Story,Rich Cohen,2000
Der Glaube der Kirche in den Urkunden der Lehrverkร?ยผndigung.,Josef Neuner,1992
The Smile of the Lamb,David Grossman,1991
Neue Konkordanz zur Einheitsรผbersetzung der Bibel,Franz Joseph Schierse,1996
From Beginning to Beginning: An Autobiography,Edward J. Levitch,1997
Caspar David Friedrich Leben Und Werk,Jens Christi Jensen,0
The Book of Candy,Susan Dworkin,1996
NVQ2/SVQ2 Catering and Hospitality (NVQ Catering &amp; Hospitality S.),Rowland Foote,1996
"Hurra, wir leben noch.",Johannes Mario Simmel,1978
Dunkle Tage der Seele.,Susan Kushner Resnick,2002
Practical cookery,Victor Ceserani,1990
Der Ohlsdorf-Fรผhrer: Spaziergรคnge รผber den grรถssten Friedhof Europas,Barbara Leisner,1993
Australie,Guide Lonely Planet,2002
"ร?ย?berall, nur nicht hier",Mona Simpson,2000
Folge dem Fluss des Lebens.,Helmut Walch,2002
Star Wars Episode 1. Planet der Verrร?ยคter.,Greg Bear,2001
Die Reisen des Mร?ยคrchenerzร?ยคhlers. Der Mร?ยคrchenring / Lichtauge / Die Mondsteinmร?ยคrchen.,Roland Kร?ยผbler,2002
Whirlwind Alchemy,Douglas W. Clark,1993
Der Tarot- Garten.,Niki de Saint Phalle,1999
Das Arbeitsbuch zur Aussร?ยถhnung mit dem inneren Kind.,Erika J. Chopich,2002
Bright Shark,Robert Ballard,1992
Der Ruf des Muschelhorns.,Zoe Jenny,2002
Auf der Silberlichtstraร?ย?e des Mondes.,Else Mร?ยผller,1985
Du spร?ยผrst unter deinen Fร?ยผร?ย?en das Gras. Autogenes Training in Phantasie- und Mร?ยคrchenreisen.,Else Mร?ยผller,2000
"The Everything Tarot Book: Discover Your Past, Present, and Future : It's in the Cards! (Everything Series)",M. J. Abadie,1999
"Freie und Hansestadt Hamburg: Geschichte, Kultur und Stadtbaukunst an Elbe und Alster (Kunst-Reisefรผhrer in der Reihe DuMont Dokumente)",Hermann Hipp,1990
Aching for Beauty: Footbinding in China,Ping Wang,2002
Hokus Pokus. Magie der Frauen.,Titania Hardie,1998
"Mร?ยคrchen, die Kindern helfen.",Gerlinde Ortner,1998
The Pursuit of Loneliness: American Culture at the Breaking Point,Philip Slater,1971
Worte der Liebe. Erotische Zwiegesprร?ยคche - Ein Elixier fร?ยผr Paare.,Michael Lukas Moeller,1998
Bridge Down,George. Mair,1982
Frida Kahlo. Ein Leben fร?ยผr die Kunst.,Rauda Jamis,2000
The Dead Secret (Common Reader Editions),Wilkie Collins,2000
Hazelden Meditationsbร?ยผcher. Jeder Morgen bringt neue Hoffnung. Meditationen fร?ยผr jeden Tag.,Karen Casey,1989
"NOT A PENNY MORE, NOT A PENNY LESS",Jeffrey Archer,1989
Ein selbsterzร?ยคhltes Leben.,Ernst Barlach,1988
Jeans und groร?ย?e Klappe. Heiterer Roman.,Evelyn Sanders,1991
Gedichte,Johann Wolfgang Goethe,0
Camera Lucida : Reflections on Photography,Roland Barthes,1982
Am Abgrund der Trร?ยคume.,Annette Dร?ยถbrich,2001
Searchings of a Young Mind,Nathan Doherty,2003
Latin America: A Concise Interpretive History,E. Bradford Burns,1993
The Colour of Memory,Geoff Dyer,1997
"Vergiss nie, daร?ย? ich Dich liebe.",Elizabeth George,2002
Shadow of the Minotaur (Legendeer Trilogy),Alan Gibbons,2001
Die gร?ยถttliche Komร?ยถdie.,Dante Alighieri,2002
The Complete Quick &amp; Hearty Cookbook,American Diabetes Association,1998
Promise the Earth,Clive Irving,1982
The Secret Language of Destiny: A Personology Guide to Finding Your Life Purpose,Gary Goldschneider,1999
"Numerology: With Tantra, Ayurveda and Astrology",Harish Johari,1990
Runes (The New Life Library),Andy Baggot,1999
Walden. Ein Leben mit der Natur.,Henry David Thoreau,1999
Rune Play: A Seasonal Record Book With Twelve New Techniques for Rune Casting,Ralph Blum,1990
Die zerbrochene Uhr. Ein historischer Kriminalroman.,Petra Oelker,1999
Planets in composite: Analyzing human relationships,Robert Hand,1976
Planets in Youth: Patterns of Early Development (The Planet Series),Robert Hand,1997
"Schlaf wohl, mein sร?ยผร?ย?es Kind / Schwesterlein, komm tanz mit mir.",Mary Higgins Clark,1998
Astrology for the Millions (Llewellyn's Classics of Astrology Library),Lewi Grant,1990
Heaven Knows What: Do Your Own Horoscope in Just 30 Minutes! (Llewellyn's Popular Astrology Series),Grant Lewi,1995
Merringannee Bluff (Harlequin Romance No. 2725),Kerry Allyne,1985
The Astrological Houses: The Spectrum of Individual Experience,Dane Rudhyar,1986
Scent Of Gold (Harlequin American Romance),Hilary London,1983
Numerology made plain (A Newcastle occult book ; P-12),Ariel Yvon Taylor,1973
"Childhood Rising: The Astrology of Your Mother, Your Father, and You",Michael Lutin,1993
"Modern Man (Harlequin American Romance, No 120)",Judith Arnold,1985
HESTER,Norma Lee Clark,1979
New Moon Astrology : Using New Moon Power Days to Change and Revitalize Your Life,JAN SPILLER,2001
The Sixth Extinction : Patterns of Life and the Future of Humankind,RICHARD E. LEAKEY,1996
Greed to Green,David Gottfried,2004
Star Names for Baby: The Origins and Astrological Implications of All Common (And Uncommon Names),Dan Crawford,1989
Sexual Astrology,Marlene Masini Rathgeb,1993
Timeline: Ai Confini Del Tempo,Michael Crichton,2002
Delirium: A Novel,Douglas Cooper,1998
Runaway Bride,Jane Aiken Hodge,1978
"The Astrology of Karma: How Our Past, Present, and Future Lives Are Revealed by the Birth Chart (Aquarian Astrology Handbook)",Pauline Stone,1988
The astrology of change: Horary astrology and its humanistic applications,Michael R Meyer,1975
An Astrological Mandala: The Cycle of Transformations and Its 360 Symbolic Phases.,Dane Rudhyar,1974
Financial Astrology,David Williams,1984
Being a Lunar Type in a Solar World an Astrological View of Modern Life,Donna Cunningham,1982
Modern Identity Changer : How To Create And Use A New Identity For Privacy And Personal Freedom,Sheldon Charrett,1997
Stolen Idyll,Alice Morgan,1985
"Flying Blind, Flying Safe",Mary Schiavo,1997
How to Give an Astrological Health Reading,Diane L. Cramer,1986
Carvers Bride,Author Unknown,1984
Your Hidden Powers: Intercepted Signs and Retrograde Planets,Joanne Wickenburg,1992
